nome,nicho,regiao,bairro,endereco,telefone,instagram,site,tem_site,qualidade_site,observacoes,prioridade
"Petshop Les Chiens","pet shop","Aguas Claras","Aguas Claras","Rua Figueiras I - Aguas Claras, DF","","https://www.instagram.com/leschienspetshop","https://linktr.ee/leschienspetshop","nao","linktree sem site proprio","Especializados em banho e tosa; encontrado via Linktree.","alta"
"Agro-isa Pet Shop","pet shop","Aguas Claras","Aguas Claras","Avenida Aguas Claras QS 08, C 68 - Brasilia/DF","","","https://www.fourpet.com.br/e/agro-isa-pet-shop/","nao","listagem em diretorio","Aparece em diretorio Fourpet, sem site proprio identificado.","alta"
"Clinica Amici Odontologia","dentista","Aguas Claras","Aguas Claras","Pau Brasil, 10, sala 1409 - Aguas Claras, Brasilia/DF","","https://www.instagram.com/clinicaamici","https://linktr.ee/clinicaamici","nao","linktree sem site proprio","Presenca social forte, mas resultado encontrado aponta para Linktree.","media"
"Dra. Ana Paula Odonto Abreu","dentista","Aguas Claras","Aguas Claras","Copaiba, 01 Torre A, sala 612 - Aguas Claras, Brasilia/DF","","https://www.instagram.com/draanapaula_odontoabreu","https://linktr.ee/draanapaula_odontoabreu","nao","linktree sem site proprio","Lead de clinica/profissional liberal com chance de upgrade para site institucional.","media"
"Onne Odontologia","dentista","Aguas Claras","Aguas Claras","Aguas Claras, Brasilia/DF","","https://www.instagram.com/onne_odontologia","https://linktr.ee/onne_odontologia","nao","linktree sem site proprio","Resultado aponta Instagram/Linktree em vez de dominio proprio forte.","media"
"El Barbero","barbearia","Sobradinho","Sobradinho","SH Mansoes Sobradinho Condominio Mini-Chacaras QMS 33 loja 02 - Sobradinho, Brasilia/DF","","","https://zaubee.com/biz/el-barbero-0tfh4y7z","nao","listagem em diretorio","Encontrado em diretorio Zaubee; oportunidade clara de site proprio.","alta"
"Pet Star","pet shop","Sobradinho","Sobradinho","Sobradinho, DF","","https://www.instagram.com/petstar.vet","http://www.instagram.com/petstar.vet","nao","instagram como site","LinkedIn aponta o Instagram como site principal.","alta"
"Pet Shop Estilo Animal","pet shop","Sobradinho","Sobradinho","Q 14 CL 2 lj 3, Sobradinho/DF","","","https://oggo.com.br/l/pet-shop-estilo-animal-6373","nao","listagem em diretorio","Sem site proprio encontrado; aparece em catalogo local.","alta"
"Pet Shop Fashion Dog","pet shop","Sobradinho II","Sobradinho II","AR 05 Conjunto 03 lote 14 loja 01, Sobradinho II, Brasilia/DF","","","https://www.locaisdobrasil.com.br/encontre/pet-shop/brasilia-df/pet-shop-fashion-dog/618481400c7239279d949bd1","nao","listagem em diretorio","Endereco identificado em diretorio, sem dominio proprio confirmado.","alta"
"Barbearia Oscar","barbearia","Asa Sul","Asa Sul","SRTVS Quadra 701 Conjunto D Bloco C - Asa Sul, Brasilia/DF","(61) 3964-2104","","https://br.todosnegocios.com/pt/barbearia-oscar-61-3964-2104","nao","sem site listado","O proprio diretorio informa que nao ha site listado.","alta"
"Dom Tisco Barbearia","barbearia","Asa Sul","Asa Sul","SHCS CL QD 103 Bloco B - Asa Sul, Brasilia/DF","","https://www.instagram.com/domtiscobarbearia","https://taggycontact.me/assets/card/card_Domtiscobarbearia.pdf","nao","cartao/PDF em vez de site","Aparece por cartao digital em PDF; bom candidato para landing propria.","alta"
"Pet dos Caes","pet shop","Asa Norte","Asa Norte","Asa Norte, Brasilia/DF","","","","nao","sem site identificado","Mencionado como pet shop pequeno e familiar em discussao recente; sem site identificado no resultado.","media"
"Pet Shop Agrosama","pet shop","Asa Norte","Asa Norte","SCRN 716 Bloco A - Asa Norte, Brasilia/DF","","","","nao","sem site identificado","Referencia em lista publica de postos antirrabicos; bom candidato para validacao manual.","media"
"OdontoCompany Sobradinho II","dentista","Sobradinho II","Sobradinho II","Sobradinho II, Brasilia/DF","","https://www.instagram.com/odontocompanysobradinho2","https://linktr.ee/odontocompanysobradinho2","nao","linktree sem site proprio","Encontrado via Linktree com Instagram e WhatsApp como canais centrais.","media"
"Seven Barbearia","barbearia","Aguas Claras","Aguas Claras","Aguas Claras, Brasilia/DF","","","https://linktr.ee/sevenbarbearia","nao","linktree como hub","Possui Linktree com agendamento e avaliacao Google; bom alvo para site proprio.","alta"
"Moura Barbearia","barbearia","Aguas Claras","Aguas Claras Sul","Aguas Claras Sul, Brasilia/DF","","https://www.instagram.com/mourabarbearia","https://linktr.ee/mourabarbearia","nao","linktree sem site proprio","Resultado mostra Linktree para unidade de Aguas Claras Sul.","alta"
"Pet Show","pet shop","Asa Sul","Asa Sul","CLS 214 Bloco C Loja 10 - Asa Sul, Brasilia/DF","(61) 3245-4192","","https://www.veterinarios.biz/sobre/pet-show-pet-shop","nao","listagem em diretorio","Empresa nao reivindicada em diretorio; sem dominio proprio identificado.","alta"
"Pet Show Asa Sul","pet shop","Asa Sul","Asa Sul","CLS 214 Bloco C Loja 10 - Asa Sul, Brasilia/DF","(61) 3345-0246","","https://guiamania.com.br/pet-show-asa-sul-df/","nao","listagem em diretorio","Mesmo negocio apareceu em outro diretorio com telefone alternativo.","media"
"Adega da Cachaca","adega","Asa Sul","Asa Sul","CRS 506 Bloco B Loja 46 e 52 - Asa Sul, Brasilia/DF","","","","nao","sem site identificado","Referencia publica em material gastronômico; precisa validacao manual de Instagram/WhatsApp.","media"
"Satya Odontologia","dentista","Asa Sul","Asa Sul","SGAS 915 lote 69/70 - Asa Sul, Brasilia/DF","","https://www.instagram.com/satyaodontologia","https://linktr.ee/satyaodontologia","nao","linktree sem site proprio","Clinica odontologica com Linktree centralizando agendamentos e localizacao.","media"
"Schild Odontologia","dentista","Aguas Claras","Aguas Claras","Avenida das Araucarias lotes 1835/2005, sala 511 - Aguas Claras, Brasilia/DF","","https://www.instagram.com/schild_odontologia","https://linktr.ee/schild_odontologia","nao","linktree sem site proprio","Todas as especialidades e agendamento centralizados em Linktree.","media"
